systems_impacted,num_files_changed,deployment_hour,deployment_day,engineer_experience,historical_failures,dependency_count,rollback_required,test_coverage,change_type,change_failed
6,63,20,Saturday,13,5,10,0,94,Network,1
6,93,20,Wednesday,8,0,8,0,43,Application,0
8,75,15,Saturday,14,5,3,0,63,Application,0
9,80,20,Friday,13,2,4,1,58,Infrastructure,0
2,30,3,Friday,4,5,11,0,69,Application,1
9,25,0,Tuesday,2,1,6,1,61,Application,0
12,75,23,Tuesday,12,4,10,0,78,Infrastructure,1
11,71,18,Friday,4,5,10,1,87,Database,1
10,26,1,Monday,2,5,4,1,79,Application,1
9,56,8,Friday,9,1,3,1,66,Database,0
13,22,22,Sunday,11,3,3,0,54,Infrastructure,1
10,89,12,Wednesday,14,3,4,0,91,Application,0
10,19,17,Tuesday,8,3,2,1,76,Network,0
7,31,15,Tuesday,9,5,8,0,93,Database,1
1,26,15,Sunday,4,2,11,1,40,Infrastructure,0
7,42,9,Sunday,1,1,1,0,51,Network,0
10,41,8,Saturday,3,5,11,1,48,Application,1
5,23,10,Sunday,7,0,6,1,58,Application,0
6,47,3,Tuesday,1,5,3,1,57,Database,0
10,13,9,Friday,11,3,7,1,98,Application,1
7,89,2,Tuesday,8,1,6,1,78,Network,0
14,66,5,Sunday,9,0,7,0,50,Database,0
5,66,2,Sunday,8,1,3,0,50,Database,0
7,16,8,Sunday,5,2,10,1,69,Application,1
9,73,2,Tuesday,12,3,1,0,59,Infrastructure,0
3,28,17,Sunday,11,4,6,0,91,Network,0
8,77,7,Saturday,14,5,11,1,97,Application,1
2,35,21,Friday,12,3,8,0,54,Infrastructure,0
11,41,7,Monday,13,3,5,0,96,Database,0
7,77,14,Sunday,9,2,6,1,94,Database,0
13,31,12,Tuesday,4,0,5,0,64,Application,0
2,85,6,Tuesday,9,3,1,1,88,Network,0
14,32,18,Sunday,1,0,8,1,42,Application,1
4,54,7,Tuesday,12,0,4,0,97,Application,0
7,98,9,Sunday,11,2,11,1,82,Database,1
3,72,16,Wednesday,3,3,2,0,65,Network,0
2,59,0,Friday,4,5,3,1,84,Application,0
11,41,12,Sunday,11,2,3,1,67,Infrastructure,0
10,66,12,Tuesday,10,2,11,1,45,Infrastructure,1
7,96,23,Wednesday,1,4,8,1,85,Network,1
1,54,15,Monday,12,5,10,0,71,Database,0
14,40,8,Monday,6,2,4,0,50,Database,0
8,28,9,Saturday,13,4,1,0,52,Network,0
3,37,5,Sunday,4,0,5,0,56,Application,0
12,65,4,Saturday,4,5,11,0,85,Application,1
12,74,1,Saturday,1,5,6,0,92,Infrastructure,1
13,55,10,Wednesday,5,0,7,1,85,Infrastructure,1
2,4,8,Monday,9,1,4,0,75,Network,0
3,99,5,Saturday,6,5,7,0,69,Database,0
5,10,7,Thursday,8,1,7,0,43,Network,0
11,47,8,Saturday,11,0,3,0,53,Application,0
8,75,8,Monday,4,3,6,0,85,Application,0
10,14,7,Thursday,9,1,11,0,67,Network,0
7,38,11,Wednesday,7,2,8,0,46,Application,0
7,12,7,Sunday,14,5,9,0,55,Application,1
12,45,2,Sunday,14,1,3,1,53,Infrastructure,0
7,17,12,Thursday,7,5,8,0,76,Application,1
8,80,18,Monday,8,0,11,1,78,Infrastructure,1
1,35,1,Tuesday,2,3,3,0,88,Database,0
4,66,16,Thursday,12,0,0,0,66,Network,0
13,75,15,Monday,6,3,3,0,69,Application,1
6,41,3,Saturday,7,5,1,0,54,Infrastructure,0
9,67,17,Tuesday,3,1,5,0,96,Infrastructure,0
13,29,13,Wednesday,8,2,7,0,95,Network,1
2,18,1,Sunday,1,2,5,0,78,Infrastructure,0
1,20,12,Wednesday,1,0,8,0,81,Application,0
13,14,20,Friday,10,5,5,1,57,Infrastructure,1
10,34,19,Wednesday,3,3,10,1,50,Infrastructure,1
12,49,16,Friday,6,1,6,1,61,Database,1
14,54,14,Wednesday,7,3,11,0,85,Application,1
2,31,19,Wednesday,2,3,4,0,43,Network,0
7,58,4,Wednesday,14,3,7,0,42,Infrastructure,1
3,42,6,Friday,6,5,1,1,100,Infrastructure,0
10,58,17,Saturday,12,1,1,1,63,Application,0
2,82,23,Friday,5,5,10,0,53,Application,1
14,30,10,Thursday,6,3,7,1,91,Infrastructure,1
11,25,17,Monday,1,5,5,1,42,Application,1
7,63,4,Monday,14,2,1,0,98,Network,0
13,19,12,Saturday,10,0,5,1,70,Application,0
13,72,17,Monday,7,4,10,1,92,Network,1
2,92,1,Wednesday,8,3,7,0,100,Network,0
3,8,19,Saturday,14,2,5,1,96,Application,0
11,95,3,Monday,7,5,8,0,97,Network,1
7,3,12,Friday,9,2,5,0,74,Application,0
14,67,23,Thursday,1,0,2,1,70,Application,0
4,86,15,Tuesday,10,0,8,0,96,Infrastructure,0
13,81,5,Thursday,9,4,9,1,91,Infrastructure,1
14,17,7,Monday,11,4,4,1,51,Database,1
1,14,15,Saturday,11,4,5,0,49,Database,0
13,9,12,Sunday,13,1,3,1,59,Application,1
14,62,22,Monday,3,1,2,0,57,Network,0
5,94,3,Friday,2,2,9,1,83,Application,1
12,21,1,Thursday,6,5,4,0,95,Infrastructure,1
9,76,8,Sunday,11,0,11,0,75,Database,0
8,37,17,Friday,5,3,2,0,90,Application,0
12,96,16,Friday,4,0,1,0,100,Network,0
9,11,7,Tuesday,4,1,5,0,58,Network,0
10,20,14,Friday,8,2,7,0,56,Application,1
14,35,8,Sunday,10,3,2,0,79,Database,0
9,53,16,Friday,13,4,5,0,100,Database,1
7,47,22,Tuesday,3,4,10,1,50,Application,1
4,75,1,Wednesday,13,1,8,1,44,Network,0
5,52,5,Sunday,1,2,0,1,76,Database,0
1,8,4,Wednesday,5,5,2,1,84,Database,0
14,4,16,Sunday,8,0,1,1,75,Database,0
1,27,1,Saturday,3,1,11,1,84,Infrastructure,0
3,44,17,Tuesday,2,5,7,1,87,Application,0
13,40,9,Saturday,1,5,8,1,83,Database,1
14,47,9,Saturday,13,0,9,0,53,Database,1
8,94,5,Friday,4,3,5,1,92,Application,1
14,44,11,Saturday,11,0,2,1,67,Infrastructure,0
2,48,16,Monday,2,3,9,1,92,Network,0
4,91,12,Sunday,14,5,7,1,48,Network,1
2,85,19,Thursday,8,2,9,0,98,Application,0
14,52,15,Monday,11,1,6,0,77,Database,0
5,84,9,Monday,13,0,1,1,68,Database,0
9,68,20,Friday,10,2,10,1,64,Network,1
1,11,1,Thursday,12,2,6,0,47,Network,0
5,77,1,Saturday,9,0,0,0,87,Application,0
14,73,22,Thursday,13,4,7,0,58,Infrastructure,1
9,4,6,Saturday,10,5,11,1,41,Application,1
1,76,5,Wednesday,1,4,4,0,45,Application,0
9,73,0,Tuesday,2,3,8,0,69,Application,0
8,77,11,Friday,6,2,11,0,100,Infrastructure,1
4,48,12,Saturday,13,1,10,0,41,Application,0
12,26,11,Saturday,10,1,11,0,90,Application,0
11,77,18,Thursday,12,2,2,0,58,Application,0
10,39,8,Friday,7,4,11,1,52,Database,1
5,92,9,Sunday,2,5,6,1,88,Infrastructure,1
13,58,16,Saturday,8,2,7,0,92,Database,0
5,19,17,Wednesday,13,3,0,0,47,Database,0
11,88,7,Monday,10,2,5,0,48,Network,0
12,83,6,Saturday,9,0,10,1,62,Application,1
6,77,8,Thursday,8,4,1,1,76,Database,0
7,77,9,Sunday,9,0,7,1,47,Application,0
8,58,11,Wednesday,6,0,5,1,48,Application,0
14,28,14,Friday,11,2,10,0,55,Application,1
8,66,14,Saturday,7,5,10,1,55,Database,1
11,10,3,Wednesday,6,2,11,0,51,Network,1
14,86,3,Wednesday,7,5,2,0,64,Infrastructure,1
13,77,22,Sunday,3,1,3,0,96,Network,0
2,58,0,Wednesday,4,5,6,0,50,Application,0
9,73,11,Wednesday,9,0,8,0,57,Network,0
7,97,1,Sunday,3,2,10,0,52,Network,0
4,14,14,Sunday,2,1,9,0,74,Network,0
4,84,16,Sunday,12,0,1,0,57,Infrastructure,0
11,15,6,Wednesday,13,1,8,1,82,Network,1
8,96,5,Wednesday,11,4,5,0,69,Infrastructure,0
4,33,11,Tuesday,7,3,1,1,82,Database,0
13,17,18,Friday,6,0,7,0,76,Network,1
6,24,0,Monday,3,2,3,0,69,Application,0
5,30,20,Friday,6,5,10,0,99,Database,0
3,62,13,Thursday,7,4,7,0,42,Infrastructure,0
13,13,3,Thursday,6,1,10,0,68,Infrastructure,1
14,62,4,Sunday,1,3,6,1,64,Network,1
10,47,0,Friday,12,5,6,0,41,Infrastructure,1
11,16,0,Wednesday,14,0,10,1,86,Network,1
2,66,20,Tuesday,1,3,6,0,44,Application,0
9,81,5,Monday,9,4,1,1,99,Application,0
10,96,4,Saturday,6,3,7,1,70,Database,1
9,43,1,Saturday,12,0,1,1,44,Infrastructure,0
1,8,20,Wednesday,2,4,2,0,60,Application,0
10,3,4,Friday,11,1,9,1,87,Infrastructure,1
3,12,8,Saturday,1,0,6,1,88,Application,0
8,84,18,Friday,11,3,6,0,65,Database,1
6,16,20,Tuesday,12,0,11,0,46,Network,0
5,78,14,Tuesday,2,4,6,0,69,Network,0
5,80,12,Sunday,8,3,3,1,73,Infrastructure,0
6,59,11,Friday,5,1,4,0,67,Application,0
7,49,4,Sunday,7,5,6,0,53,Database,1
1,63,1,Wednesday,7,2,7,1,57,Database,0
9,62,3,Sunday,2,1,2,0,96,Network,0
3,49,17,Wednesday,4,0,5,0,83,Application,0
4,51,20,Wednesday,2,2,11,0,56,Database,0
10,33,9,Saturday,7,5,8,0,64,Application,1
1,30,12,Monday,5,5,9,1,45,Infrastructure,1
13,59,11,Monday,1,4,10,0,44,Database,1
11,76,1,Wednesday,2,5,11,1,92,Infrastructure,1
10,15,14,Friday,6,3,4,0,60,Network,0
3,82,13,Tuesday,14,3,3,1,93,Network,0
2,92,9,Sunday,4,4,8,1,78,Application,0
2,23,21,Thursday,7,5,3,0,98,Infrastructure,0
14,78,7,Tuesday,2,0,2,0,96,Network,0
1,94,14,Tuesday,13,1,6,0,89,Network,0
8,97,12,Thursday,12,2,4,1,59,Database,0
3,45,7,Wednesday,2,4,0,1,50,Database,0
3,62,20,Tuesday,12,5,7,0,44,Database,0
6,79,20,Thursday,6,0,10,1,77,Database,0
13,71,21,Sunday,8,0,0,0,78,Application,0
8,15,13,Saturday,13,2,8,0,74,Infrastructure,0
13,46,0,Friday,1,4,0,0,74,Application,0
9,64,12,Friday,5,1,3,0,96,Database,0
9,46,7,Friday,1,1,9,1,64,Infrastructure,1
4,56,17,Wednesday,11,4,3,0,69,Network,0
14,44,21,Tuesday,6,3,10,1,41,Database,1
5,75,8,Tuesday,7,5,8,0,59,Infrastructure,1
2,29,12,Monday,6,1,0,0,75,Infrastructure,0
11,95,2,Friday,14,3,9,1,76,Database,1
9,62,17,Wednesday,13,4,8,1,41,Application,1
8,89,9,Thursday,9,5,3,0,87,Database,0
3,52,4,Wednesday,3,0,6,0,83,Infrastructure,0
11,54,5,Tuesday,8,4,8,1,86,Application,1
12,88,7,Sunday,3,0,10,1,66,Application,1
13,57,23,Sunday,11,4,6,1,71,Application,1
9,83,6,Sunday,12,3,1,0,98,Application,0
3,66,20,Friday,13,5,5,0,43,Infrastructure,1
9,22,17,Monday,13,3,5,0,66,Infrastructure,0
2,20,13,Saturday,7,5,2,0,69,Database,0
12,33,14,Wednesday,14,4,3,1,42,Infrastructure,1
10,72,9,Monday,13,0,5,1,85,Database,0
9,25,20,Sunday,5,4,10,1,84,Network,1
8,46,11,Tuesday,12,0,5,1,66,Infrastructure,0
9,73,6,Thursday,13,3,0,1,77,Database,0
5,98,6,Wednesday,1,2,9,1,75,Application,1
11,57,10,Saturday,11,1,7,0,40,Application,0
11,87,12,Tuesday,12,3,8,0,74,Infrastructure,0
2,5,14,Friday,4,4,1,1,95,Network,0
8,55,17,Wednesday,14,4,3,1,51,Application,0
12,61,6,Monday,13,0,10,0,74,Database,0
6,89,5,Sunday,11,1,5,1,94,Database,0
8,8,22,Wednesday,9,5,1,0,57,Application,0
11,16,10,Tuesday,8,3,10,0,85,Application,1
5,48,7,Tuesday,3,1,6,1,76,Application,0
10,61,19,Sunday,2,1,5,1,62,Network,0
2,15,0,Monday,11,3,7,0,72,Network,0
6,65,7,Saturday,9,0,6,0,53,Infrastructure,0
5,22,7,Tuesday,1,5,9,1,98,Database,1
12,3,18,Wednesday,9,0,0,0,83,Infrastructure,0
13,54,2,Sunday,12,0,9,1,40,Infrastructure,1
12,14,4,Saturday,7,2,9,0,66,Database,1
5,36,2,Monday,12,1,4,1,63,Database,0
13,82,14,Tuesday,2,2,5,0,41,Database,0
1,82,13,Sunday,11,0,6,1,51,Infrastructure,0
2,67,20,Tuesday,5,5,3,1,52,Network,0
8,10,14,Wednesday,14,3,8,1,66,Database,1
13,49,23,Tuesday,2,1,0,1,59,Application,0
14,65,16,Sunday,5,3,2,1,86,Network,0
13,91,17,Wednesday,7,4,9,0,87,Network,1
3,57,1,Friday,5,1,1,0,90,Network,0
10,27,11,Sunday,2,3,1,1,76,Network,0
3,75,15,Saturday,11,0,0,0,73,Database,0
8,5,3,Wednesday,14,2,2,0,45,Infrastructure,0
8,71,1,Thursday,5,3,9,1,47,Application,1
2,83,13,Tuesday,12,5,4,0,60,Application,0
8,57,10,Friday,12,4,5,0,78,Infrastructure,1
11,93,12,Saturday,10,0,7,0,60,Infrastructure,0
13,15,6,Monday,14,4,3,1,84,Network,1
13,99,9,Thursday,6,5,0,0,45,Database,0
1,76,23,Monday,5,5,11,0,80,Application,1
6,30,0,Sunday,2,2,8,1,83,Network,0
8,20,20,Thursday,6,4,2,0,98,Network,0
3,37,3,Friday,6,5,7,1,69,Database,1
8,3,17,Saturday,12,3,3,0,49,Application,0
12,73,5,Friday,2,5,10,1,50,Infrastructure,1
1,41,1,Friday,13,5,2,1,40,Network,1
11,39,2,Thursday,13,3,2,1,49,Application,0
11,26,13,Wednesday,4,0,3,0,64,Application,0
9,2,7,Saturday,7,2,3,1,55,Network,0
13,23,15,Monday,1,2,11,0,58,Application,1
11,23,18,Wednesday,1,1,6,0,49,Database,0
13,85,17,Wednesday,14,1,1,0,86,Application,0
9,16,5,Tuesday,11,3,7,0,53,Database,1
5,9,13,Sunday,12,5,10,1,42,Network,1
10,13,2,Monday,11,4,1,1,43,Application,1
4,28,15,Thursday,6,5,0,1,79,Database,0
11,27,0,Sunday,7,5,7,0,72,Database,1
6,51,11,Tuesday,12,4,3,1,59,Application,0
12,64,13,Tuesday,5,0,5,0,54,Network,0
7,52,18,Sunday,12,2,0,0,46,Infrastructure,0
5,81,21,Friday,10,3,2,1,83,Infrastructure,0
11,38,18,Thursday,8,4,6,1,42,Application,1
13,65,8,Wednesday,11,1,6,0,94,Application,0
10,18,6,Saturday,4,3,10,0,66,Infrastructure,1
9,63,13,Wednesday,3,0,7,1,76,Network,0
3,51,4,Wednesday,7,3,1,1,68,Database,0
7,9,17,Friday,14,4,6,1,65,Infrastructure,1
10,13,8,Wednesday,4,0,3,0,66,Network,0
10,40,20,Monday,1,5,5,0,64,Infrastructure,1
11,55,6,Wednesday,11,1,3,1,79,Network,0
5,79,8,Wednesday,8,1,8,0,82,Infrastructure,0
14,43,3,Monday,5,4,0,0,90,Network,0
7,44,16,Friday,13,0,0,1,69,Network,0
2,68,11,Tuesday,8,1,4,1,83,Network,0
4,33,5,Thursday,8,0,4,0,59,Database,0
2,24,17,Friday,12,3,10,0,46,Network,1
14,36,7,Wednesday,5,2,7,1,68,Infrastructure,1
13,10,20,Tuesday,8,2,6,1,85,Network,0
13,20,14,Thursday,7,2,10,1,73,Network,1
12,75,2,Thursday,13,1,2,1,65,Application,0
7,12,1,Thursday,3,4,7,1,66,Network,1
2,62,23,Monday,4,2,3,0,93,Network,0
13,18,22,Monday,11,5,2,1,96,Application,1
14,94,8,Tuesday,12,4,1,1,83,Database,1
11,63,7,Wednesday,13,2,8,0,48,Network,1
1,84,3,Sunday,7,3,11,1,61,Application,1
9,25,1,Tuesday,4,2,6,0,51,Network,0
1,12,13,Wednesday,6,4,4,1,45,Database,0
8,21,1,Friday,12,1,8,0,45,Infrastructure,1
2,25,1,Sunday,2,5,2,0,66,Network,0
12,11,21,Thursday,12,3,5,1,97,Infrastructure,0
8,64,6,Thursday,2,4,7,1,93,Application,1
13,73,11,Monday,3,0,8,0,58,Network,1
3,50,5,Sunday,10,2,3,0,91,Application,0
6,62,17,Friday,7,3,0,1,45,Infrastructure,0
3,89,3,Saturday,3,1,7,0,97,Network,0
14,99,18,Friday,12,0,9,0,88,Infrastructure,1
7,96,12,Wednesday,3,2,2,0,56,Application,0
10,49,19,Friday,13,3,5,1,68,Database,1
9,14,20,Sunday,14,5,3,0,62,Database,0
2,1,22,Sunday,4,4,5,1,56,Database,0
12,81,1,Monday,10,2,11,0,60,Application,1
12,25,7,Wednesday,6,3,2,0,49,Database,0
14,59,18,Tuesday,1,2,6,1,82,Network,1
5,72,8,Wednesday,6,5,1,1,47,Database,0
13,69,3,Tuesday,8,3,4,1,93,Infrastructure,1
6,5,15,Saturday,12,4,2,0,53,Network,0
4,99,18,Wednesday,8,2,4,0,70,Infrastructure,0
4,19,9,Thursday,6,3,2,1,90,Infrastructure,0
4,23,5,Saturday,6,0,8,0,57,Infrastructure,0
2,9,15,Tuesday,13,1,7,1,86,Infrastructure,0
4,94,9,Monday,3,5,1,0,69,Network,0
11,50,12,Saturday,14,3,7,1,57,Application,1
1,16,8,Saturday,2,3,7,1,91,Network,0
12,33,6,Saturday,7,3,9,0,96,Database,1
6,2,3,Tuesday,8,2,2,1,64,Database,0
1,14,18,Tuesday,10,5,9,1,88,Application,0
10,1,3,Wednesday,13,1,4,1,76,Database,0
6,90,18,Thursday,14,5,1,1,64,Network,0
1,58,18,Saturday,6,2,9,1,69,Database,0
6,89,11,Wednesday,5,3,5,0,69,Database,0
10,16,12,Wednesday,4,5,1,1,75,Infrastructure,0
8,79,3,Thursday,1,3,3,0,50,Network,0
11,90,9,Wednesday,9,1,2,1,87,Infrastructure,0
2,47,20,Thursday,11,0,0,0,78,Application,0
2,44,6,Monday,10,2,7,1,66,Network,0
14,80,4,Thursday,4,0,7,0,55,Infrastructure,1
13,14,16,Friday,2,5,0,1,77,Network,1
12,93,17,Thursday,4,3,11,1,71,Database,1
4,24,10,Thursday,13,3,5,0,68,Application,0
11,55,14,Sunday,11,4,11,0,91,Database,1
3,15,20,Friday,5,4,0,0,49,Database,0
4,83,21,Thursday,2,0,8,1,69,Network,0
13,72,6,Tuesday,7,4,0,0,50,Application,0
12,34,17,Sunday,3,5,2,1,54,Network,1
7,2,5,Wednesday,14,1,8,0,83,Database,0
13,27,17,Wednesday,8,5,0,1,62,Application,1
11,74,15,Monday,4,0,1,1,87,Application,0
1,99,1,Monday,12,5,3,0,62,Database,0
6,87,18,Friday,11,4,6,1,89,Network,0
3,72,0,Tuesday,5,4,7,1,46,Database,0
11,92,10,Monday,3,1,0,0,100,Database,0
10,23,19,Wednesday,13,5,0,0,53,Database,0
7,68,4,Monday,11,1,4,0,48,Network,0
10,14,15,Monday,5,0,7,0,93,Application,0
2,63,22,Thursday,9,2,0,0,67,Infrastructure,0
14,93,0,Monday,11,5,2,1,45,Database,1
2,65,18,Friday,13,5,5,1,82,Application,0
13,68,13,Wednesday,14,1,0,1,84,Infrastructure,0
4,63,2,Friday,2,4,2,1,61,Application,0
1,96,1,Sunday,7,0,11,0,99,Network,0
3,97,23,Friday,10,2,0,0,100,Infrastructure,0
13,90,4,Saturday,8,5,3,1,57,Infrastructure,1
9,81,16,Tuesday,3,0,8,1,83,Infrastructure,0
7,87,17,Sunday,11,4,4,1,77,Database,0
7,64,0,Sunday,4,2,2,1,61,Infrastructure,0
13,32,14,Saturday,13,2,9,1,48,Network,1
13,79,21,Saturday,11,1,6,0,57,Network,0
11,13,8,Thursday,10,3,5,1,96,Infrastructure,0
4,66,22,Friday,2,4,10,1,60,Application,1
2,19,4,Tuesday,10,3,8,1,54,Database,0
14,24,12,Wednesday,13,4,3,1,48,Application,1
4,88,18,Wednesday,9,0,3,0,81,Database,0
6,11,23,Tuesday,3,3,8,0,97,Database,0
11,59,9,Sunday,9,5,1,1,41,Network,1
11,86,19,Friday,13,5,9,1,53,Database,1
3,15,20,Friday,7,5,1,0,60,Infrastructure,0
1,10,13,Thursday,6,2,8,0,82,Database,0
14,41,21,Thursday,11,1,6,0,84,Network,1
12,27,20,Saturday,12,4,4,1,73,Network,1
8,60,11,Wednesday,11,1,4,1,92,Database,0
12,73,10,Thursday,3,4,8,1,46,Database,1
13,52,22,Tuesday,11,5,9,1,99,Database,1
5,28,6,Wednesday,7,2,4,1,54,Application,0
5,65,16,Sunday,11,2,8,1,78,Infrastructure,0
11,17,17,Sunday,14,2,7,1,51,Database,1
4,95,6,Friday,3,2,5,1,98,Infrastructure,0
6,44,23,Wednesday,13,2,4,1,46,Network,1
3,10,19,Monday,11,5,4,1,44,Infrastructure,1
9,63,5,Wednesday,6,1,4,1,86,Database,0
5,93,10,Thursday,8,0,0,0,78,Network,0
3,82,11,Tuesday,5,3,10,0,93,Database,0
11,47,15,Friday,11,1,4,1,62,Infrastructure,0
1,38,18,Friday,11,5,2,1,92,Infrastructure,0
10,70,22,Thursday,13,3,5,1,67,Application,1
12,76,18,Thursday,3,0,8,0,73,Infrastructure,0
6,53,10,Thursday,6,4,11,1,64,Network,1
2,78,15,Monday,8,0,2,1,41,Database,0
13,44,22,Tuesday,10,0,0,1,90,Infrastructure,0
3,74,11,Monday,3,5,7,0,48,Database,0
1,54,7,Thursday,12,4,11,1,73,Application,1
9,20,2,Tuesday,13,3,8,0,100,Database,0
8,79,1,Sunday,14,2,9,1,85,Database,0
12,31,5,Sunday,11,4,3,0,86,Infrastructure,0
2,7,15,Thursday,11,4,9,0,95,Infrastructure,0
12,58,19,Tuesday,5,0,4,1,71,Database,0
11,10,23,Friday,9,4,2,1,100,Application,1
8,10,14,Monday,14,1,7,0,51,Network,0
12,39,13,Saturday,14,2,2,1,100,Network,0
14,28,1,Thursday,10,0,3,0,100,Network,0
9,30,19,Thursday,10,3,9,0,58,Network,1
1,37,17,Wednesday,3,3,11,1,86,Database,0
13,67,13,Saturday,13,3,6,0,77,Database,1
5,43,17,Friday,12,3,1,0,96,Database,0
8,79,1,Thursday,11,3,0,0,49,Database,0
11,85,0,Monday,2,0,3,1,49,Application,0
14,52,19,Friday,11,1,7,1,74,Database,1
2,56,1,Thursday,13,1,0,0,80,Database,0
4,76,8,Monday,14,3,9,1,94,Database,0
7,68,8,Wednesday,8,1,2,1,76,Infrastructure,0
3,9,15,Wednesday,14,2,3,1,71,Network,0
13,92,10,Sunday,14,1,3,0,95,Infrastructure,0
12,23,22,Monday,14,4,2,1,93,Application,0
5,63,5,Friday,7,3,2,1,46,Application,0
8,61,11,Monday,12,4,6,1,90,Network,0
12,40,2,Saturday,9,4,7,0,100,Network,0
10,44,11,Monday,4,3,9,1,49,Database,1
3,86,22,Wednesday,3,5,3,1,82,Network,0
4,24,0,Wednesday,10,0,10,0,77,Application,0
14,51,8,Wednesday,5,5,10,1,66,Database,1
9,58,19,Saturday,11,1,7,1,71,Application,0
14,90,21,Thursday,1,5,7,1,90,Infrastructure,1
14,94,5,Sunday,5,2,5,0,46,Database,0
7,33,10,Saturday,13,5,0,1,87,Database,0
1,16,2,Thursday,13,5,6,0,65,Infrastructure,0
14,22,3,Saturday,3,0,6,1,61,Application,0
12,57,9,Tuesday,1,2,4,0,97,Network,0
4,62,18,Thursday,3,5,5,1,51,Database,1
4,82,5,Friday,5,3,8,0,63,Network,0
9,71,0,Friday,5,1,2,0,95,Infrastructure,0
6,90,7,Sunday,10,5,11,1,93,Application,1
9,72,7,Wednesday,12,0,3,0,89,Application,0
12,70,5,Saturday,8,3,8,1,85,Application,1
6,30,16,Monday,11,0,9,0,97,Network,0
6,23,18,Wednesday,1,4,11,1,68,Network,1
5,32,0,Sunday,7,5,1,0,71,Network,0
5,86,14,Monday,5,1,8,1,55,Network,0
2,57,12,Saturday,3,1,4,0,65,Database,0
8,9,20,Wednesday,4,3,2,0,45,Network,0
8,31,2,Wednesday,3,3,7,1,40,Infrastructure,1
11,71,1,Friday,8,3,8,1,52,Database,1
13,9,2,Monday,4,1,0,0,77,Application,0
1,13,8,Tuesday,3,5,4,0,45,Network,0
8,58,15,Tuesday,2,4,8,0,77,Network,0
5,3,23,Wednesday,3,1,10,0,51,Database,0
2,35,12,Saturday,7,3,1,1,48,Application,0
14,97,18,Wednesday,6,2,0,1,59,Application,0
2,21,17,Sunday,10,5,7,0,98,Infrastructure,0
14,64,20,Friday,12,4,5,1,78,Database,1
6,95,11,Sunday,13,1,1,1,66,Infrastructure,0
11,52,11,Monday,5,2,2,0,42,Database,0
13,34,0,Sunday,8,5,4,0,63,Database,1
9,96,19,Wednesday,11,4,0,0,54,Database,0
1,35,7,Sunday,1,1,1,1,73,Application,0
12,15,16,Saturday,3,5,10,1,89,Infrastructure,1
6,96,20,Tuesday,2,5,11,0,71,Infrastructure,1
9,6,19,Monday,2,3,0,0,60,Network,0
8,85,21,Wednesday,12,1,10,0,40,Infrastructure,1
11,97,6,Monday,11,5,6,1,72,Network,1
6,32,8,Friday,12,4,6,0,50,Network,0
3,52,16,Sunday,1,3,9,1,42,Application,1
8,83,9,Tuesday,5,5,4,1,61,Network,1
9,97,3,Saturday,5,0,9,1,49,Database,1
1,28,21,Monday,3,2,5,0,83,Database,0
12,95,6,Tuesday,12,5,2,1,77,Application,1
9,85,6,Sunday,12,3,10,1,63,Database,1
14,98,7,Wednesday,9,3,1,1,46,Database,0
6,64,23,Saturday,12,4,9,0,88,Infrastructure,1
6,79,23,Saturday,6,5,8,0,88,Application,1
12,78,7,Thursday,14,5,1,1,75,Database,1
4,19,15,Monday,10,4,0,1,40,Application,0
1,15,11,Tuesday,14,2,8,1,40,Application,0
10,6,14,Monday,6,4,7,1,65,Database,1
8,73,7,Wednesday,10,3,7,1,56,Database,1
2,84,21,Wednesday,6,2,6,0,50,Network,0
12,98,8,Sunday,14,2,8,1,42,Application,1
1,38,2,Saturday,2,1,10,0,100,Application,0
2,26,21,Saturday,11,3,2,0,49,Database,0
1,82,20,Tuesday,10,3,7,1,41,Network,0
1,92,15,Friday,10,4,0,1,71,Infrastructure,0
9,51,14,Monday,8,3,0,1,55,Database,0
13,73,23,Monday,6,5,10,0,87,Network,1
14,96,3,Wednesday,13,4,5,1,98,Application,1
1,53,19,Monday,14,3,11,0,65,Application,0
13,56,15,Tuesday,3,5,7,1,79,Database,1
4,59,9,Thursday,10,1,7,1,78,Network,0
10,70,10,Saturday,9,3,9,0,49,Database,1
6,78,4,Wednesday,2,1,0,1,100,Application,0
7,92,10,Saturday,7,3,10,0,95,Network,1
2,58,12,Saturday,3,3,0,1,75,Network,0
6,88,14,Saturday,12,0,8,0,69,Application,0
7,13,5,Thursday,6,5,8,0,48,Application,0
10,43,15,Monday,5,3,6,1,44,Infrastructure,1
14,76,14,Friday,13,1,0,1,46,Infrastructure,0
10,51,10,Saturday,6,2,9,1,75,Application,0
2,19,19,Tuesday,8,1,1,0,40,Network,0
2,21,1,Saturday,14,5,7,1,66,Application,0
10,91,1,Saturday,3,3,7,1,51,Database,1
7,83,11,Monday,2,4,10,1,55,Application,1
12,24,15,Sunday,8,0,4,0,87,Network,0
1,26,18,Tuesday,1,4,1,0,47,Infrastructure,0
8,45,1,Monday,2,0,2,0,64,Application,0
11,28,16,Saturday,10,0,4,1,52,Infrastructure,0
13,82,13,Sunday,1,4,2,0,80,Database,0
3,29,23,Monday,5,5,9,0,49,Network,1
11,17,15,Monday,8,3,0,1,79,Infrastructure,0
6,68,4,Wednesday,2,1,5,1,72,Database,0
9,44,9,Thursday,4,4,4,1,74,Network,1
